state,state_fips,avg_unemployment_rate,observations,latest_year,latest_period,latest_unemployment_rate
Alabama,01,2.9130434782608696,23,2025,December,2.3
Alaska,02,4.630434782608695,23,2025,December,5.1
Arizona,04,3.982608695652174,23,2025,December,4
Arkansas,05,3.8043478260869565,23,2025,December,4.2
California,06,5.3826086956521735,23,2025,December,5.1
Colorado,08,4.086956521739131,23,2025,December,3.6
Connecticut,09,3.626086956521739,23,2025,December,4.1
Delaware,10,4.343478260869565,23,2025,December,5.2
District of Columbia,11,5.782608695652174,23,2025,December,6.4
Florida,12,3.634782608695652,23,2025,December,4.4
Georgia,13,3.4217391304347826,23,2025,December,3.3
Hawaii,15,2.5608695652173914,23,2025,December,2.2
Idaho,16,3.621739130434783,23,2025,December,3.5
Illinois,17,4.821739130434783,23,2025,December,4.8
Indiana,18,3.856521739130435,23,2025,December,2.6
Iowa,19,3.3304347826086955,23,2025,December,3.3
Kansas,20,3.6478260869565218,23,2025,December,3.4
Kentucky,21,4.708695652173913,23,2025,December,3.5
Louisiana,22,4.2956521739130435,23,2025,December,3.9
Maine,23,3.1739130434782608,23,2025,December,3.3
Maryland,24,3.5565217391304347,23,2025,December,3.7
Massachusetts,25,4.239130434782608,23,2025,December,4.6
Michigan,26,4.908695652173913,23,2025,December,4.8
Minnesota,27,3.5043478260869563,23,2025,December,4.3
Mississippi,28,3.482608695652174,23,2025,December,3.1
Missouri,29,3.847826086956522,23,2025,December,3.3
Montana,30,3.1608695652173915,23,2025,December,3.9
Nebraska,31,2.8434782608695652,23,2025,December,3
Nevada,32,5.339130434782609,23,2025,December,4.9
New Hampshire,33,2.860869565217391,23,2025,December,3.1
New Jersey,34,4.930434782608696,23,2025,December,4.5
New Mexico,35,4.160869565217391,23,2025,December,4.2
New York,36,4.247826086956522,23,2025,December,4.3
North Carolina,37,3.743478260869565,23,2025,December,3.4
North Dakota,38,2.5217391304347827,23,2025,December,2.5
Ohio,39,4.5,23,2025,December,4
Oklahoma,40,3.2869565217391306,23,2025,December,3.8
Oregon,41,4.717391304347826,23,2025,December,5.1
Pennsylvania,42,4.039130434782608,23,2025,December,3.7
Rhode Island,44,4.3652173913043475,23,2025,December,4.5
South Carolina,45,4.273913043478261,23,2025,December,4.9
South Dakota,46,1.9478260869565218,23,2025,December,2.4
Tennessee,47,3.4565217391304346,23,2025,December,3.4
Texas,48,4.1521739130434785,23,2025,December,3.9
Utah,49,3.4,23,2025,December,3.5
Vermont,50,2.4782608695652173,23,2025,December,2.6
Virginia,51,3.152173913043478,23,2025,December,3.5
Washington,53,4.582608695652174,23,2025,December,5.3
West Virginia,54,4.1347826086956525,23,2025,December,4.5
Wisconsin,55,3.117391304347826,23,2025,December,3
