state_fips,state_name,median_household_income,income_moe,poverty_rate
01,Alabama,62027,400,0.15632796709437574
02,Alaska,89336,1374,0.1018246051711797
04,Arizona,76872,414,0.1275994811763248
05,Arkansas,58773,503,0.16021199819882354
06,California,96334,298,0.11966430251849935
08,Colorado,92470,483,0.09383137094541709
09,Connecticut,93760,669,0.10026457234687665
10,Delaware,82855,1234,0.10725553979357237
11,District of Columbia,106287,1803,0.14530603172839163
12,Florida,71711,282,0.12617431387860695
13,Georgia,74664,431,0.13476086879327692
15,Hawaii,98317,980,0.09965589658450755
16,Idaho,74636,877,0.10636214449432412
17,Illinois,81702,363,0.11717428435647317
18,Indiana,70051,293,0.12204960861946967
19,Iowa,73147,438,0.10990487839688874
20,Kansas,72639,453,0.11523906119151173
21,Kentucky,62417,401,0.16142133276870396
22,Louisiana,60023,491,0.18884450663349456
23,Maine,71773,660,0.10781415933833108
24,Maryland,101652,518,0.09349868647126637
25,Massachusetts,101341,539,0.0998217416202257
26,Michigan,71149,286,0.13050559525962532
27,Minnesota,87556,396,0.09197386318481006
28,Mississippi,54915,586,0.19064732434804532
29,Missouri,68920,368,0.12621002405826032
30,Montana,69922,768,0.12045774647887324
31,Nebraska,74985,575,0.10295297089504381
32,Nevada,75561,714,0.12592176165452165
33,New Hampshire,95628,1073,0.07155823913480534
34,New Jersey,101050,527,0.09770946890342179
35,New Mexico,62125,608,0.18100621209659104
36,New York,84578,372,0.13700021916536673
37,North Carolina,69904,346,0.13166957247475114
38,North Dakota,75949,1002,0.10581470599569714
39,Ohio,69680,287,0.13238334360874307
40,Oklahoma,63603,419,0.15333337809064285
41,Oregon,80426,573,0.11893212635745122
42,Pennsylvania,76081,310,0.11776952629482934
44,Rhode Island,86372,1274,0.10905573622351443
45,South Carolina,66818,504,0.1418945601105
46,South Dakota,72421,805,0.12013255720926383
47,Tennessee,67097,360,0.137736544859406
48,Texas,76292,265,0.1380372661817198
49,Utah,91750,634,0.08557002553837406
50,Vermont,78024,1357,0.10267195809701313
51,Virginia,90974,485,0.09923166908783258
53,Washington,94952,476,0.09905635137695237
54,West Virginia,57917,607,0.16641405083941732
55,Wisconsin,75670,402,0.10577864685286627
56,Wyoming,74815,1225,0.1072664237575055
72,Puerto Rico,25096,232,0.4155323477704574
