year,period,value
2024,M12,4.1
2024,M11,4.2
2024,M10,4.1
2024,M09,4.1
2024,M08,4.2
2024,M07,4.2
2024,M06,4.1
2024,M05,3.9
2024,M04,3.9
2024,M03,3.9
2024,M02,3.9
2024,M01,3.7
2023,M12,3.8
2023,M11,3.7
2023,M10,3.9
2023,M09,3.7
2023,M08,3.7
2023,M07,3.5
2023,M06,3.6
2023,M05,3.6
2023,M04,3.4
2023,M03,3.5
2023,M02,3.6
2023,M01,3.5
2022,M12,3.5
2022,M11,3.6
2022,M10,3.6
2022,M09,3.5
2022,M08,3.6
2022,M07,3.5
2022,M06,3.6
2022,M05,3.6
2022,M04,3.7
2022,M03,3.7
2022,M02,3.9
2022,M01,4
2021,M12,3.9
2021,M11,4.1
2021,M10,4.5
2021,M09,4.7
2021,M08,5.1
2021,M07,5.4
2021,M06,5.9
2021,M05,5.8
2021,M04,6.1
2021,M03,6.1
2021,M02,6.2
2021,M01,6.4
2020,M12,6.7
2020,M11,6.7
2020,M10,6.9
2020,M09,7.8
2020,M08,8.4
2020,M07,10.2
2020,M06,11
2020,M05,13.2
2020,M04,14.8
2020,M03,4.4
2020,M02,3.5
2020,M01,3.6
